id,cbo,descricao,disponivel,user_id,created_at,updated_at
,203205,Pesquisador de engenharia civil,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,203210,Pesquisador de engenharia e tecnologia (outras áreas da engenharia),1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,203215,Pesquisador de engenharia elétrica e eletrônica,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,203220,Pesquisador de engenharia mecânica,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,203225,"Pesquisador de engenharia metalúrgica, de minas e de materiais",1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,203230,Pesquisador de engenharia química,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,203305,Pesquisador de clínica médica,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,203310,Pesquisador de medicina básica,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,203315,Pesquisador em medicina veterinária,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,203320,Pesquisador em saúde coletiva,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,203405,Pesquisador em ciências agronômicas,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,203410,Pesquisador em ciências da pesca e aqüicultura,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,203415,Pesquisador em ciências da zootecnia,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,203420,Pesquisador em ciências florestais,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,203505,Pesquisador em ciências sociais e humanas,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,203510,Pesquisador em economia,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,203515,Pesquisador em ciências da educação,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,203520,Pesquisador em história,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,203525,Pesquisador em psicologia,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,204105,Perito criminal,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,204110,Perito judicial,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,211105,Atuário,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,211110,Especialista em pesquisa operacional,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,211115,Matemático,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,211120,Matemático aplicado,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,211205,Estatístico,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,211210,Estatístico (estatística aplicada),1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,211215,Estatístico teórico,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,211220,Cientista de dados,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,212205,Engenheiro de aplicativos em computação,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,212210,Engenheiro de equipamentos em computação,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,212215,Engenheiros de sistemas operacionais em computação,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,212305,Administrador de banco de dados,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
,212310,Administrador de redes,1,1,2023-08-29 19:22:49,2023-08-29 19:22:49
